id,primary_name,names_sindarin,names_quenya,names_other_languages,race,ancestors,descendants,spouse,alliances,origin_country,birth_place,birth_time,age,death_place,death_time,death_mode,titles,occupations,battles,era,sources
113,Ceorl,"","","","Man (Rohirrim)","—","—","—","Rohan","Rohan","Rohan","T.A.","—","Rohan","T.A.","unknown","Captain","Captain","War of the Ring","Third Age","LOTR"
114,Fredegar Bolger,"Fatty Bolger","","","Hobbit","Odovacar Bolger; Rosamunda Took","—","—","The Shire","The Shire","Buckland","T.A. 2980",—,"The Shire","Fourth Age","natural causes","—","Hobbit","Scouring of the Shire","Third/Fourth Age","LOTR"
115,Lobelia Sackville-Baggins,"","","","Hobbit","—","Lotho Sackville-Baggins","Otho Sackville-Baggins","The Shire","The Shire","Hobbiton","T.A. 2918",—,"Hardbottle","F.A. 11","natural causes","—","Hobbit","Scouring of the Shire","Third/Fourth Age","LOTR"
116,Lotho Sackville-Baggins,"Pimple","","","Hobbit","Otho Sackville-Baggins; Lobelia Sackville-Baggins","—","—","The Shire","The Shire","Hobbiton","T.A. 2964",—,"The Shire","T.A. 3019","murdered","Chief (self-appointed)","—","Scouring of the Shire","Third Age","LOTR"
117,Sharkey (Saruman in the Shire),"","","","Maia","—","—","—","Isengard; The Shire","Valinor","Valinor","Before First Age","—","The Shire","T.A. 3019","killed by Gríma","Usurper","Wizard","Scouring of the Shire","Third Age","LOTR"
118,Farmer Maggot,"","","","Hobbit","—","—","—","The Shire","The Shire","Marish","T.A.","—","The Shire","Fourth Age","natural causes","Farmer","Farmer","—","Third/Fourth Age","LOTR"
119,Gaffer Gamgee,"Hamfast Gamgee","","","Hobbit","Hobson Gamgee","Samwise Gamgee","Bell Gamgee","The Shire","The Shire","Hobbiton","T.A. 2926",—,"The Shire","F.A.","natural causes","Gardener","Gardener","—","Third/Fourth Age","LOTR"
120,Rosie Cotton,"Rose Cotton","","","Hobbit","Tolman Cotton","Elanor; Frodo; Rose; Merry; Pippin; Goldilocks; Hamfast; Daisy; Primrose; Bilbo; Ruby; Robin; Tolman","Samwise Gamgee","The Shire","The Shire","Bywater","T.A. 2984",—,"The Shire","F.A. 61","natural causes","—","Hobbit","Scouring of the Shire (indirect)","Third/Fourth Age","LOTR"
141,Glorfindel (Rivendell),"","","","Elf (Noldor)","—","—","—","Rivendell","Valinor","Valinor","Y.T.","—","Rivendell","Fourth Age","unknown","Lord","Warrior","War of the Ring","First/Third/Fourth Age","LOTR; UT"
142,Erestor,"","","","Elf (Noldor)","—","—","—","Rivendell","Rivendell","Rivendell","T.A.","—","Rivendell","Fourth Age","unknown","Counselor of Elrond","Counselor","War of the Ring (Council)","Third/Fourth Age","LOTR"
143,Lindir,"","","","Elf","—","—","—","Rivendell","Rivendell","Rivendell","T.A.","—","Rivendell","Fourth Age","unknown","Minstrel","Minstrel","—","Third/Fourth Age","LOTR"
144,Galdor of the Havens (Council),"","","","Elf (Sindar)","—","—","—","Grey Havens","Falassë","Falassë","T.A.","—","Grey Havens","Fourth Age","unknown","Messenger","Envoy","War of the Ring (Council)","Third/Fourth Age","LOTR"
145,Captain of the Guard (Rivendell),"","","","Elf","—","—","—","Rivendell","Rivendell","Rivendell","T.A.","—","Rivendell","T.A.","unknown","Captain","Guard","—","Third Age","LOTR"
146,Thorin III Stonehelm,"","","","Dwarf","Dáin Ironfoot","—","—","Durin's Folk","Erebor","Erebor","T.A.","—","Erebor","Fourth Age","natural causes","King under the Mountain","King","War of the Ring (indirect)","Third/Fourth Age","Appendices"
147,Dáin Ironfoot,"","","","Dwarf","Náin II","Thorin III","—","Durin's Folk","Iron Hills","Iron Hills","T.A. 2767",252,"Battle of Dale","T.A. 3019","slain","King under the Mountain","King","Battle of Dale","Third Age","Appendices"
148,Frerin,"","","","Dwarf","Thrór","—","—","Durin's Folk","Erebor","Erebor","T.A. 2751",48,"Azanulbizar","T.A. 2799","slain","Prince","Warrior","War of the Dwarves and Orcs","Third Age","Appendices"
149,Dis,"","","","Dwarf","Thráin II","Fíli; Kíli","—","Durin's Folk","Erebor","Erebor","T.A. 2760",—,"Erebor","T.A.","natural causes","Princess","—","—","Third Age","Appendices"
150,Fíli,"","","","Dwarf","Dis","—","—","Durin's Folk","Erebor","Erebor","T.A. 2859",82,"Battle of Five Armies","T.A. 2941","slain","Prince","Warrior","Battle of Five Armies","Third Age","Hobbit"
151,Kíli,"","","","Dwarf","Dis","—","—","Durin's Folk","Erebor","Erebor","T.A. 2864",77,"Battle of Five Armies","T.A. 2941","slain","Prince","Warrior","Battle of Five Armies","Third Age","Hobbit"
152,Thráin II,"","","","Dwarf","Thrór","Thorin Oakenshield; Dis","—","Durin's Folk","Erebor","Erebor","T.A. 2644",—,"Dol Guldur","T.A. 2850","died in captivity","King under the Mountain","King","War of the Dwarves and Orcs","Third Age","Appendices"
153,Thrór,"","","","Dwarf","Dáin I","Thráin II","—","Durin's Folk","Erebor","Erebor","T.A. 2542",258,"Moria","T.A. 2790","slain by Azog","King under the Mountain","King","War of the Dwarves and Orcs","Third Age","Appendices"
154,Dáin I,"","","","Dwarf","Náin I","Thrór; Grór","—","Durin's Folk","Erebor","Erebor","T.A. 2440",—,"Grey Mountains","T.A. 2589","slain by dragon","King","King","—","Third Age","Appendices"
155,Náin I,"","","","Dwarf","Durin VI","Dáin I","—","Durin's Folk","Khazad-dûm","Khazad-dûm","T.A.","—","Khazad-dûm","T.A.","slain","King","King","—","Third Age","Appendices"
156,Grór,"","","","Dwarf","Dáin I","—","—","Durin's Folk","Erebor","Erebor","T.A.","—","Iron Hills","T.A.","natural causes","Lord of the Iron Hills","Lord","—","Third Age","Appendices"
157,Bor (House of Bór),"","","","Man (Easterling)","—","Borthand; Borlach; Borlad","—","Easterlings","Rhûn","Rhûn","F.A.","—","F.A.","slain","Chieftain","Warrior","Nirnaeth Arnoediad","First Age","Silmarillion"
158,Borthand,"","","","Man (Easterling)","Bor","—","—","Easterlings","Rhûn","Rhûn","F.A.","—","F.A.","slain","Warrior","Warrior","Nirnaeth Arnoediad","First Age","Silmarillion"
159,Borlach,"","","","Man (Easterling)","Bor","—","—","Easterlings","Rhûn","Rhûn","F.A.","—","F.A.","slain","Warrior","Warrior","Nirnaeth Arnoediad","First Age","Silmarillion"
160,Borlad,"","","","Man (Easterling)","Bor","—","—","Easterlings","Rhûn","Rhûn","F.A.","—","F.A.","slain","Warrior","Warrior","Nirnaeth Arnoediad","First Age","Silmarillion"
161,Ulfang the Black,"","","","Man (Easterling)","—","Uldor; Ulfast; Ulwarth","—","Easterlings","Rhûn","Rhûn","F.A.","—","F.A.","slain","Chieftain","Traitor","Nirnaeth Arnoediad","First Age","Silmarillion"
162,Uldor the Accursed,"","","","Man (Easterling)","Ulfang","—","—","Easterlings","Rhûn","Rhûn","F.A.","—","F.A.","slain by Maglor","Captain","Traitor","Nirnaeth Arnoediad","First Age","Silmarillion"
163,Ulfast,"","","","Man (Easterling)","Ulfang","—","—","Easterlings","Rhûn","Rhûn","F.A.","—","F.A.","slain","Warrior","Traitor","Nirnaeth Arnoediad","First Age","Silmarillion"
164,Ulwarth,"","","","Man (Easterling)","Ulfang","—","—","Easterlings","Rhûn","Rhûn","F.A.","—","F.A.","slain","Warrior","Traitor","Nirnaeth Arnoediad","First Age","Silmarillion"
165,Gorlim the Unhappy,"","","","Man (Edain)","—","—","Eilinel","Barahir’s Outlaw Band","Dorthonion","Dorthonion","F.A.","—","Dorthonion","F.A.","executed by Sauron","Outlaw","Scout","Barahir’s rebellion","First Age","Silmarillion"
166,Barahir,"","","","Man (Edain)","Bregor","Beren","Emeldir","House of Bëor","Dorthonion","Dorthonion","F.A.","—","Dorthonion","F.A.","slain by orcs","Lord","Warrior","Dagor Bragollach","First Age","Silmarillion"
167,Emeldir the Manhearted,"","","","Man (Edain)","—","Beren","Barahir","House of Bëor","Dorthonion","Dorthonion","F.A.","—","Brethil","F.A.","natural causes","Lady","Leader","—","First Age","Silmarillion"
168,Bregolas,"","","","Man (Edain)","Bregor","—","—","House of Bëor","Dorthonion","Dorthonion","F.A.","—","Dagor Bragollach","F.A.","slain","Lord","Warrior","Dagor Bragollach","First Age","Silmarillion"
169,Bregor,"","","","Man (Edain)","—","Bregolas; Barahir","—","House of Bëor","Dorthonion","Dorthonion","F.A.","—","Dorthonion","F.A.","natural causes","Lord","Leader","—","First Age","Silmarillion"
170,Amlach,"","","","Man (Edain)","Imlach","—","—","House of Hador","Dor-lómin","Dor-lómin","F.A.","—","Dor-lómin","F.A.","unknown","Lord","Warrior","Council of Estolad","First Age","Silmarillion"
171,Imlach,"","","","Man (Edain)","Marach","Amlach","—","House of Hador","Dor-lómin","Dor-lómin","F.A.","—","Dor-lómin","F.A.","natural causes","Lord","Leader","—","First Age","Silmarillion"
172,Marach,"","","","Man (Edain)","—","Imlach","—","House of Hador","Eriador","Eriador","F.A.","—","Dor-lómin","F.A.","natural causes","Leader","Leader","—","First Age","Silmarillion"
173,Hador Lórindol,"","","","Man (Edain)","Hathol","Galdor; Gundor","Gildis","House of Hador","Dor-lómin","Dor-lómin","F.A.","—","Eithel Sirion","F.A. 455","slain","Lord of Dor-lómin","Warrior","Dagor Bragollach","First Age","Silmarillion"
174,Galdor the Tall,"","","","Man (Edain)","Hador","Húrin; Huor","—","House of Hador","Dor-lómin","Dor-lómin","F.A.","—","Eithel Sirion","F.A. 462","slain","Lord","Warrior","Siege of Angband","First Age","Silmarillion"
175,Gundor,"","","","Man (Edain)","Hador","—","—","House of Hador","Dor-lómin","Dor-lómin","F.A.","—","Eithel Sirion","F.A. 455","slain","Warrior","Warrior","Dagor Bragollach","First Age","Silmarillion"
176,Huor,"","","","Man (Edain)","Galdor","Tuor","Rían","House of Hador","Dor-lómin","Dor-lómin","F.A.","—","Nirnaeth Arnoediad","F.A. 472","slain","Lord","Warrior","Nirnaeth Arnoediad","First Age","Silmarillion"
177,Rían,"","","","Man (Edain)","Belegund","Tuor","Huor","House of Bëor","Dorthonion","Dorthonion","F.A.","—","Haudh-en-Nirnaeth","F.A.","dies of grief","Lady","—","—","First Age","Silmarillion"
178,Belegund,"","","","Man (Edain)","Bregor","Rían","—","House of Bëor","Dorthonion","Dorthonion","F.A.","—","Dorthonion","F.A.","slain","Warrior","Warrior","Dagor Bragollach","First Age","Silmarillion"
179,Beleg Cúthalion,"","","","Elf (Sindar)","—","—","—","Doriath","Doriath","Doriath","F.A.","—","Brethil","F.A. 499","killed by Túrin","Marchwarden of Doriath","Archer","Túrin’s tale","First Age","Silmarillion"
180,Mablung of the Heavy Hand,"","","","Elf (Sindar)","—","—","—","Doriath","Doriath","Doriath","F.A.","—","Doriath","F.A. 506","slain","Captain","Hunter","War of the Jewels","First Age","Silmarillion"
181,Daeron,"","","","Elf (Sindar)","—","—","—","Doriath","Doriath","Doriath","F.A.","—","Unknown","F.A.","disappeared","Minstrel of Doriath","Minstrel","—","First Age","Silmarillion"
182,Saeros,"Orgof","","","Elf (Sindar)","—","—","—","Doriath","Doriath","Doriath","F.A.","—","Doriath","F.A.","killed (fell into ravine)","Counselor","Courtier","Túrin’s tale","First Age","Silmarillion"
183,Brandir of Dor-lómin,"","","","Man (Edain)","—","—","—","House of Hador","Dor-lómin","Dor-lómin","F.A.","—","Dor-lómin","F.A.","unknown","Lord","Warrior","—","First Age","Silmarillion"
184,Andróg,"","","","Man (Edain)","—","—","—","Outlaws of Dor-lómin","Dor-lómin","Dor-lómin","F.A.","—","Brethil","F.A.","slain","Outlaw","Warrior","Túrin’s tale","First Age","Silmarillion"
185,Algund,"","","","Man (Edain)","—","—","—","Outlaws of Dor-lómin","Dor-lómin","Dor-lómin","F.A.","—","Brethil","F.A.","slain","Outlaw","Warrior","Túrin’s tale","First Age","Silmarillion"
186,Forweg,"","","","Man (Edain)","—","—","—","Outlaws of Dor-lómin","Dor-lómin","Dor-lómin","F.A.","—","Brethil","F.A.","killed by Túrin","Outlaw","Warrior","Túrin’s tale","First Age","Silmarillion"
187,Asgon,"","","","Man (Edain)","—","—","—","Outlaws of Dor-lómin","Dor-lómin","Dor-lómin","F.A.","—","Brethil","F.A.","slain","Outlaw","Warrior","Túrin’s tale","First Age","Silmarillion"
188,Gwindor,"","","","Elf (Noldor)","—","—","Finduilas","Nargothrond","Nargothrond","Nargothrond","F.A.","—","Nargothrond","F.A. 495","slain","Lord","Warrior","Nirnaeth Arnoediad; Fall of Nargothrond","First Age","Silmarillion"
189,Finduilas,"Faelivrin","","","Elf (Noldor)","Orodreth","—","—","Nargothrond","Nargothrond","Nargothrond","F.A.","—","Nargothrond","F.A. 495","killed by orcs","Princess","Lady","Fall of Nargothrond","First Age","Silmarillion"
190,Orodreth,"","","","Elf (Noldor)","Angrod","Finduilas","—","Nargothrond","Valinor","Valinor","Y.T.","—","Nargothrond","F.A. 495","slain","King of Nargothrond","King","Fall of Nargothrond","First Age","Silmarillion"
191,Angrod,"","","","Elf (Noldor)","Finarfin","Orodreth","—","Noldor","Valinor","Valinor","Y.T.","—","Dorthonion","F.A. 455","slain","Lord","Warrior","Dagor Bragollach","First Age","Silmarillion"
192,Aegnor,"","","","Elf (Noldor)","Finarfin","—","—","Noldor","Valinor","Valinor","Y.T.","—","Dorthonion","F.A. 455","slain","Lord","Warrior","Dagor Bragollach","First Age","Silmarillion"
193,Edrahil,"","","","Elf (Noldor)","—","—","—","Nargothrond","Nargothrond","Nargothrond","F.A.","—","Tol-in-Gaurhoth","F.A.","slain","Captain","Warrior","Beren’s Quest","First Age","Silmarillion"
194,Curufin’s Guardsman,"","","","Elf (Noldor)","—","—","—","Nargothrond","Nargothrond","Nargothrond","F.A.","—","Nargothrond","F.A.","slain","Guard","Warrior","Fall of Nargothrond","First Age","Silmarillion"
195,Handir of Brethil,"","","","Man (Edain)","Haldan","Brandir","—","Haladin","Brethil","Brethil","F.A.","—","Brethil","F.A.","slain","Chieftain","Warrior","—","First Age","Silmarillion"
196,Hirilorn Guard,"","","","Elf (Sindar)","—","—","—","Doriath","Doriath","Doriath","F.A.","—","Doriath","F.A.","unknown","Guard","Guard","Lúthien’s tale","First Age","Silmarillion"
197,Thuringwethil,"","","","Maia (servant of Morgoth)","—","—","—","Morgoth","Angband","Angband","F.A.","—","Unknown","F.A.","slain","Messenger","Shape-shifter","Beren and Lúthien","First Age","Silmarillion"
198,Draugluin,"","","","Werewolf","—","—","—","Morgoth","Angband","Angband","F.A.","—","Tol-in-Gaurhoth","F.A.","slain","Captain of Werewolves","Beast","Beren and Lúthien","First Age","Silmarillion"
199,Carcharoth,"Anfauglir","","","Wolf (demonic)","—","—","—","Morgoth","Angband","Angband","F.A.","—","Doriath","F.A.","slain","Great Wolf","Beast","Beren and Lúthien","First Age","Silmarillion"
200,Ancalagon the Black,"","","","Dragon","—","—","—","Morgoth","Angband","Angband","F.A.","—","Thangorodrim","F.A. 587","slain by Eärendil","Greatest of Dragons","Dragon","War of Wrath","First Age","Silmarillion"
201,Glaurung,"","","","Dragon","—","—","—","Morgoth","Angband","Angband","F.A.","—","Cabed-en-Aras","F.A. 499","slain by Túrin","Father of Dragons","Dragon","Túrin’s tale","First Age","Silmarillion"
202,Smaug,"","","","Dragon","—","—","—","Lonely Mountain","Erebor","Erebor","T.A.","—","Lake-town","T.A. 2941","slain by Bard","Dragon","Dragon","Destruction of Lake-town","Third Age","Hobbit"
203,Scatha,"","","","Dragon","—","—","—","Grey Mountains","Grey Mountains","Grey Mountains","T.A.","—","Eriador","T.A.","slain by Fram","Dragon","Dragon","—","Third Age","Appendices"
204,Fram,"","","","Man (Éothéod)","Frumgar","—","—","Éothéod","Rhovanion","Rhovanion","T.A.","—","Rhovanion","T.A.","slain by dwarves","Lord of the Éothéod","Warrior","Slaying of Scatha","Third Age","Appendices"
205,Frumgar,"","","","Man (Éothéod)","—","Fram","—","Éothéod","Rhovanion","Rhovanion","T.A.","—","Rhovanion","T.A.","natural causes","Lord of the Éothéod","Lord","—","Third Age","Appendices"
206,Eorl the Young,"","","","Man (Rohirrim)","Léod","Brego","—","Rohan; Éothéod","Rhovanion","Rhovanion","T.A. 2485",—,"Fords of the Entwash","T.A. 2545","slain in battle","King of Rohan","King","Battle of the Field of Celebrant","Third Age","Appendices"
207,Léod,"","","","Man (Éothéod)","—","Eorl","—","Éothéod","Rhovanion","Rhovanion","T.A.","—","Rhovanion","T.A.","killed by wild horse","Horse-master","Horse-tamer","—","Third Age","Appendices"
208,Brego,"","","","Man (Rohirrim)","Eorl","Aldor","—","Rohan","Rohan","Edoras","T.A. 2512",—,"Edoras","T.A. 2570","natural causes","King of Rohan","King","—","Third Age","Appendices"
209,Aldor the Old,"","","","Man (Rohirrim)","Brego","Frealáf","—","Rohan","Rohan","Edoras","T.A. 2544",—,"Edoras","T.A. 2645","natural causes","King of Rohan","King","—","Third Age","Appendices"
210,Frealáf Hildeson,"","","","Man (Rohirrim)","Hild","—","—","Rohan","Rohan","Edoras","T.A. 2726",—,"Edoras","T.A. 2798","natural causes","King of Rohan","King","War with Dunlendings","Third Age","Appendices"
211,Helm Hammerhand,"","","","Man (Rohirrim)","Gram","Háma; Haleth","—","Rohan","Rohan","Edoras","T.A. 2691",—,"Helm’s Deep","T.A. 2759","died in winter siege","King of Rohan","Warrior","Long Winter","Third Age","Appendices"
212,Gram,"","","","Man (Rohirrim)","—","Helm","—","Rohan","Rohan","Edoras","T.A.","—","Edoras","T.A.","natural causes","King of Rohan","King","—","Third Age","Appendices"
213,Déor,"","","","Man (Rohirrim)","—","—","—","Rohan","Rohan","Edoras","T.A.","—","Edoras","T.A.","natural causes","King of Rohan","King","—","Third Age","Appendices"
214,Goldwine,"","","","Man (Rohirrim)","Déor","—","—","Rohan","Rohan","Edoras","T.A.","—","Edoras","T.A.","natural causes","King of Rohan","King","—","Third Age","Appendices"
215,Fréawine,"","","","Man (Rohirrim)","Goldwine","—","—","Rohan","Rohan","Edoras","T.A.","—","Edoras","T.A.","natural causes","King of Rohan","King","—","Third Age","Appendices"
216,Fréaláf,"","","","Man (Rohirrim)","Fréawine","—","—","Rohan","Rohan","Edoras","T.A.","—","Edoras","T.A.","natural causes","King of Rohan","King","—","Third Age","Appendices"
217,Brytta Léofa,"","","","Man (Rohirrim)","Fréaláf","—","—","Rohan","Rohan","Edoras","T.A.","—","Edoras","T.A.","natural causes","King of Rohan","King","—","Third Age","Appendices"
218,Walda,"","","","Man (Rohirrim)","Brytta","—","—","Rohan","Rohan","Edoras","T.A.","—","Edoras","T.A.","slain by orcs","King of Rohan","King","—","Third Age","Appendices"
219,Helm’s Captain,"","","","Man (Rohirrim)","—","—","—","Rohan","Rohan","Helm’s Deep","T.A.","—","Helm’s Deep","T.A.","slain","Captain","Warrior","Long Winter","Third Age","Appendices"
220,Háma’s Father,"","","","Man (Rohirrim)","—","Háma","—","Rohan","Rohan","Rohan","T.A.","—","Rohan","T.A.","unknown","—","—","—","Third Age","Appendices"
221,Beleg Strongbow of Doriath,"","","","Elf (Sindar)","—","—","—","Doriath","Doriath","Doriath","F.A.","—","Brethil","F.A.","slain","Marchwarden","Archer","Túrin’s tale","First Age","Silmarillion"
222,Galion,"","","","Elf (Sindar)","—","—","—","Woodland Realm","Mirkwood","Mirkwood","T.A.","—","Mirkwood","T.A.","unknown","Butler of Thranduil","Servant","—","Third Age","Hobbit"
223,Thranduil’s Captain,"","","","Elf (Sindar)","—","—","—","Woodland Realm","Mirkwood","Mirkwood","T.A.","—","Mirkwood","T.A.","unknown","Captain","Warrior","Battle of Five Armies","Third Age","Hobbit"
224,Elvenking’s Guard,"","","","Elf (Sindar)","—","—","—","Woodland Realm","Mirkwood","Mirkwood","T.A.","—","Mirkwood","T.A.","unknown","Guard","Guard","—","Third Age","Hobbit"
225,Master of Lake-town,"","","","Man","—","—","—","Lake-town","Lake-town","Lake-town","T.A.","—","Lake-town","T.A. 2941","drowned fleeing with gold","Master","Politician","Destruction of Lake-town","Third Age","Hobbit"
226,Alfrid Lickspittle,"","","","Man","—","—","—","Lake-town","Lake-town","Lake-town","T.A.","—","Unknown","T.A.","unknown","Advisor","Servant","Destruction of Lake-town","Third Age","Film-only"
227,Bard’s Bowman Captain,"","","","Man","—","—","—","Dale","Dale","Dale","T.A.","—","Dale","T.A.","unknown","Captain","Archer","Battle of Five Armies","Third Age","Hobbit"
228,Brandir of Dale,"","","","Man","—","—","—","Dale","Dale","Dale","T.A.","—","Dale","T.A.","unknown","Lord","Lord","—","Third Age","Appendices"
229,Grór’s Captain,"","","","Dwarf","—","—","—","Iron Hills","Iron Hills","Iron Hills","T.A.","—","Iron Hills","T.A.","unknown","Captain","Warrior","Battle of Five Armies","Third Age","Hobbit"
230,Dáin’s Messenger,"","","","Dwarf","—","—","—","Durin’s Folk","Erebor","Erebor","T.A.","—","Erebor","T.A.","unknown","Messenger","Messenger","War of the Ring (indirect)","Third Age","LOTR"
231,Arveleg I,"","","","Man (Dúnedain)","Argeleb I","Argeleb II","—","Arnor","Arnor","Fornost","T.A. 1711",—,"Weathertop","T.A. 1743","slain by Angmar","King of Arthedain","King","Wars with Angmar","Third Age","Appendices"
232,Argeleb II,"","","","Man (Dúnedain)","Arveleg I","Arvegil","—","Arnor","Arnor","Fornost","T.A. 1743",—,"Fornost","T.A. 1813","natural causes","King of Arthedain","King","Wars with Angmar","Third Age","Appendices"
233,Arvegil,"","","","Man (Dúnedain)","Argeleb II","Arveleg II","—","Arnor","Arnor","Fornost","T.A. 1801",—,"Fornost","T.A. 1891","natural causes","King of Arthedain","King","—","Third Age","Appendices"
234,Arveleg II,"","","","Man (Dúnedain)","Arvegil","Araval","—","Arnor","Arnor","Fornost","T.A. 1863",—,"Fornost","T.A. 1964","natural causes","King of Arthedain","King","Wars with Angmar","Third Age","Appendices"
235,Araval,"","","","Man (Dúnedain)","Arveleg II","Araphant","—","Arnor","Arnor","Fornost","T.A. 1938",—,"Fornost","T.A. 2077","natural causes","King of Arthedain","King","Wars with Angmar","Third Age","Appendices"
236,Araphant,"","","","Man (Dúnedain)","Araval","Arvedui","—","Arnor","Arnor","Fornost","T.A. 1998",—,"Fornost","T.A. 2177","natural causes","King of Arthedain","King","Wars with Angmar","Third Age","Appendices"
237,Malbeth the Seer,"","","","Man (Dúnedain)","—","—","—","Arnor","Arnor","Arnor","T.A.","—","Arnor","T.A.","unknown","Seer","Prophet","—","Third Age","Appendices"
238,Elendil’s Herald,"","","","Man (Dúnedain)","—","—","—","Arnor; Gondor","Arnor","Arnor","S.A.","—","Mordor","S.A. 3441","slain","Herald","Messenger","War of the Last Alliance","Second Age","Appendices"
239,Isildur’s Guard Captain,"","","","Man (Dúnedain)","—","—","—","Gondor","Gondor","Gondor","S.A.","—","Gladden Fields","T.A. 2","slain","Captain","Guard","Disaster of the Gladden Fields","Second/Third Age","Appendices"
240,Anárion’s Guard Captain,"","","","Man (Dúnedain)","—","—","—","Gondor","Gondor","Gondor","S.A.","—","Barad-dûr","S.A. 3440","slain","Captain","Guard","Siege of Barad-dûr","Second Age","Appendices"
241,Aranarth’s Captain,"","","","Man (Dúnedain)","—","—","—","Dúnedain","Arnor","Arnor","T.A.","—","Arnor","T.A.","unknown","Captain","Ranger","Wars with Angmar","Third Age","Appendices"
242,Arvedui’s Snowman Guide,"","","","Man","—","—","—","Lossoth","Forochel","Forochel","T.A.","—","Forochel","T.A.","unknown","Guide","Hunter","Rescue of Arvedui","Third Age","Appendices"
243,Lossoth Chieftain,"","","","Man","—","—","—","Lossoth","Forochel","Forochel","T.A.","—","Forochel","T.A.","unknown","Chieftain","Leader","Aid to Arvedui","Third Age","Appendices"
244,Castamir the Usurper,"","","","Man (Gondorian)","Calmacil","—","—","Gondor","Gondor","Pelargir","T.A. 1259",—,"Pelargir","T.A. 1447","slain","Usurper-King","Captain","Kin-strife","Third Age","Appendices"
245,Eldacar,"Vinitharya","","","Man (Dúnedain)","Valacar","Ornendil","—","Gondor","Gondor","Rhovanion","T.A. 1255",—,"Gondor","T.A. 1490","natural causes","King of Gondor","King","Kin-strife","Third Age","Appendices"
246,Ornendil,"","","","Man (Dúnedain)","Eldacar","—","—","Gondor","Gondor","Minas Tirith","T.A.","—","Minas Tirith","T.A. 1437","executed","Prince","Prince","Kin-strife","Third Age","Appendices"
247,Valacar,"","","","Man (Dúnedain)","Romendacil II","Eldacar","Vidumavi","Gondor","Gondor","Minas Tirith","T.A. 1194",—,"Gondor","T.A. 1432","natural causes","King of Gondor","King","—","Third Age","Appendices"
248,Vidumavi,"","","","Man (Northman)","—","Eldacar","Valacar","Rhovanion","Rhovanion","Rhovanion","T.A.","—","Gondor","T.A.","natural causes","Princess","Lady","—","Third Age","Appendices"
249,Romendacil II,"","","","Man (Dúnedain)","Calmacil","Valacar","—","Gondor","Gondor","Minas Tirith","T.A. 1126",—,"Gondor","T.A. 1366","natural causes","King of Gondor","King","Wars with Easterlings","Third Age","Appendices"
250,Calmacil,"","","","Man (Dúnedain)","Atanatar II","Romendacil II","—","Gondor","Gondor","Minas Tirith","T.A. 1058",—,"Gondor","T.A. 1304","natural causes","King of Gondor","King","—","Third Age","Appendices"
251,Atanatar II,"Alcarin","","","Man (Dúnedain)","Hyarmendacil I","Calmacil","—","Gondor","Gondor","Minas Tirith","T.A. 977",—,"Gondor","T.A. 1226","natural causes","King of Gondor","King","—","Third Age","Appendices"
252,Hyarmendacil I,"Ciryaher","","","Man (Dúnedain)","Ciryandil","Atanatar II","—","Gondor","Gondor","Minas Tirith","T.A. 899",—,"Gondor","T.A. 1149","natural causes","King of Gondor","King","War with Harad","Third Age","Appendices"
253,Ciryandil,"","","","Man (Dúnedain)","Ciryaher","Hyarmendacil I","—","Gondor","Gondor","Minas Tirith","T.A. 820",—,"Umbar","T.A. 1015","slain","King of Gondor","King","Siege of Umbar","Third Age","Appendices"
254,Ciryaher,"","","","Man (Dúnedain)","Tarannon Falastur","Ciryandil","—","Gondor","Gondor","Minas Tirith","T.A. 740",—,"Gondor","T.A. 936","natural causes","King of Gondor","King","—","Third Age","Appendices"
255,Tarannon Falastur,"","","","Man (Dúnedain)","Siriondil","—","Berúthiel","Gondor","Gondor","Pelargir","T.A. 654",—,"Gondor","T.A. 913","natural causes","King of Gondor","King","—","Third Age","Appendices"
256,Berúthiel,"","","","Man (Black Númenórean)","—","—","Tarannon Falastur","Gondor","Unknown","Unknown","T.A.","—","Umbar","T.A.","exiled","Queen of Gondor","—","—","Third Age","Appendices"
257,Siriondil,"","","","Man (Dúnedain)","Ostoher","Tarannon Falastur","—","Gondor","Gondor","Minas Tirith","T.A. 580",—,"Gondor","T.A. 830","natural causes","King of Gondor","King","—","Third Age","Appendices"
258,Ostoher,"","","","Man (Dúnedain)","Anardil","Siriondil","—","Gondor","Gondor","Minas Tirith","T.A. 492",—,"Gondor","T.A. 650","natural causes","King of Gondor","King","—","Third Age","Appendices"
259,Anardil,"","","","Man (Dúnedain)","Eärendil (Gondor)","Ostoher","—","Gondor","Gondor","Minas Tirith","T.A. 424",—,"Gondor","T.A. 492","natural causes","King of Gondor","King","—","Third Age","Appendices"
260,Eärendil of Gondor,"","","","Man (Dúnedain)","Anardil","—","—","Gondor","Gondor","Minas Tirith","T.A. 354",—,"Gondor","T.A. 411","natural causes","King of Gondor","King","—","Third Age","Appendices"
261,Turambar’s Companion,"","","","Man (Edain)","—","—","—","Outlaws of Dor-lómin","Dor-lómin","Dor-lómin","F.A.","—","Brethil","F.A.","slain","Outlaw","Warrior","Túrin’s tale","First Age","Silmarillion"
262,Brandir’s Scout,"","","","Man (Edain)","—","—","—","Brethil","Brethil","Brethil","F.A.","—","Brethil","F.A.","unknown","Scout","Scout","—","First Age","Silmarillion"
